filename,Boat,Human,People
MFDC9249.JPG,0.0,2.0,0.0
MFDC9250.JPG,0.0,11.0,0.0
MFDC9251.JPG,1.0,2.0,0.0
MFDC9252.JPG,1.0,9.0,1.0
MFDC9253.JPG,2.0,17.0,0.0
MFDC9254.JPG,0.0,30.0,4.0
MFDC9255.JPG,1.0,17.0,5.0
MFDC9256.JPG,1.0,29.0,4.0
MFDC9257.JPG,3.0,35.0,10.0
MFDC9258.JPG,0.0,42.0,12.0
MFDC9259.JPG,2.0,68.0,15.0
MFDC9260.JPG,0.0,56.0,9.0
MFDC9261.JPG,0.0,38.0,11.0
MFDC9262.JPG,3.0,54.0,6.0
MFDC9263.JPG,0.0,42.0,12.0
MFDC9264.JPG,0.0,39.0,9.0
MFDC9265.JPG,0.0,44.0,11.0
MFDC9266.JPG,0.0,31.0,7.0
MFDC9267.JPG,3.0,51.0,7.0
MFDC9268.JPG,3.0,41.0,9.0
MFDC9269.JPG,1.0,30.0,4.0
MFDC9270.JPG,0.0,44.0,3.0
MFDC9271.JPG,0.0,34.0,6.0
MFDC9272.JPG,0.0,27.0,3.0
MFDC9273.JPG,1.0,14.0,4.0
MFDC9274.JPG,4.0,19.0,0.0
MFDC9275.JPG,1.0,13.0,1.0
MFDC9276.JPG,0.0,1.0,0.0
MFDC9277.JPG,0.0,5.0,0.0
MFDC9278.JPG,0.0,17.0,0.0
MFDC9279.JPG,0.0,16.0,2.0
MFDC9280.JPG,1.0,36.0,4.0
MFDC9281.JPG,0.0,49.0,4.0
MFDC9282.JPG,1.0,47.0,4.0
MFDC9283.JPG,0.0,33.0,15.0
MFDC9284.JPG,1.0,41.0,14.0
MFDC9285.JPG,0.0,45.0,12.0
MFDC9286.JPG,0.0,37.0,15.0
MFDC9287.JPG,0.0,42.0,7.0
MFDC9288.JPG,0.0,55.0,17.0
MFDC9289.JPG,2.0,37.0,16.0
MFDC9290.JPG,8.0,31.0,13.0
MFDC9291.JPG,2.0,26.0,12.0
MFDC9292.JPG,1.0,39.0,3.0
MFDC9293.JPG,4.0,51.0,5.0
MFDC9294.JPG,7.0,40.0,10.0
MFDC9295.JPG,0.0,27.0,10.0
MFDC9296.JPG,0.0,29.0,11.0
MFDC9297.JPG,1.0,53.0,7.0
MFDC9298.JPG,3.0,43.0,3.0
MFDC9299.JPG,0.0,20.0,2.0
MFDC9300.JPG,0.0,11.0,1.0
MFDC9301.JPG,0.0,28.0,3.0
MFDC9302.JPG,1.0,11.0,0.0
MFDC9303.JPG,0.0,1.0,0.0
MFDC9304.JPG,0.0,7.0,0.0
MFDC9305.JPG,0.0,19.0,4.0
MFDC9306.JPG,0.0,36.0,3.0
MFDC9307.JPG,0.0,29.0,1.0
MFDC9308.JPG,4.0,27.0,4.0
MFDC9309.JPG,0.0,56.0,9.0
MFDC9310.JPG,0.0,39.0,12.0
MFDC9311.JPG,0.0,22.0,11.0
MFDC9312.JPG,2.0,21.0,3.0
MFDC9313.JPG,0.0,37.0,14.0
MFDC9314.JPG,2.0,44.0,11.0
MFDC9315.JPG,1.0,42.0,13.0
MFDC9316.JPG,1.0,49.0,9.0
MFDC9317.JPG,0.0,45.0,8.0
MFDC9318.JPG,1.0,66.0,9.0
MFDC9319.JPG,1.0,71.0,13.0
MFDC9320.JPG,0.0,45.0,15.0
MFDC9321.JPG,0.0,62.0,10.0
MFDC9322.JPG,0.0,36.0,8.0
MFDC9323.JPG,0.0,35.0,8.0
MFDC9324.JPG,1.0,38.0,9.0
MFDC9325.JPG,0.0,36.0,2.0
MFDC9326.JPG,1.0,43.0,9.0
MFDC9327.JPG,0.0,16.0,0.0
MFDC9328.JPG,1.0,14.0,1.0
MFDC9329.JPG,1.0,14.0,1.0
MFDC9330.JPG,0.0,7.0,0.0
MFDC9331.JPG,1.0,1.0,0.0
MFDC9333.JPG,0.0,1.0,0.0
MFDC9334.JPG,0.0,2.0,0.0
MFDC9335.JPG,0.0,1.0,0.0
MFDC9336.JPG,0.0,4.0,0.0
MFDC9337.JPG,1.0,0.0,0.0
MFDC9338.JPG,0.0,8.0,2.0
MFDC9339.JPG,0.0,3.0,3.0
MFDC9340.JPG,0.0,13.0,1.0
MFDC9341.JPG,0.0,10.0,3.0
MFDC9342.JPG,0.0,15.0,5.0
MFDC9343.JPG,0.0,17.0,7.0
MFDC9344.JPG,1.0,12.0,9.0
MFDC9345.JPG,1.0,23.0,7.0
MFDC9346.JPG,1.0,12.0,4.0
MFDC9347.JPG,1.0,23.0,6.0
MFDC9348.JPG,3.0,10.0,3.0
