filename,Boat,Human,People
MFDC2472.JPG,0.0,2.0,9.0
MFDC2473.JPG,0.0,11.0,10.0
MFDC2474.JPG,0.0,15.0,18.0
MFDC2475.JPG,0.0,35.0,28.0
MFDC2476.JPG,0.0,19.0,31.0
MFDC2477.JPG,0.0,23.0,27.0
MFDC2478.JPG,0.0,25.0,56.0
MFDC2479.JPG,0.0,33.0,69.0
MFDC2480.JPG,0.0,34.0,60.0
MFDC2481.JPG,0.0,36.0,74.0
MFDC2482.JPG,0.0,27.0,54.0
MFDC2483.JPG,0.0,27.0,70.0
MFDC2484.JPG,0.0,36.0,59.0
MFDC2485.JPG,0.0,26.0,54.0
MFDC2486.JPG,0.0,25.0,59.0
MFDC2487.JPG,1.0,36.0,64.0
MFDC2488.JPG,0.0,41.0,56.0
MFDC2489.JPG,0.0,40.0,47.0
MFDC2490.JPG,0.0,33.0,46.0
MFDC2491.JPG,1.0,41.0,38.0
MFDC2492.JPG,2.0,28.0,25.0
MFDC2493.JPG,0.0,28.0,18.0
MFDC2494.JPG,0.0,22.0,14.0
MFDC2495.JPG,0.0,26.0,16.0
MFDC2496.JPG,0.0,15.0,16.0
MFDC2497.JPG,0.0,15.0,11.0
MFDC2498.JPG,4.0,15.0,9.0
MFDC2499.JPG,0.0,5.0,3.0
MFDC2500.JPG,0.0,29.0,36.0
MFDC2501.JPG,0.0,35.0,57.0
MFDC2502.JPG,0.0,32.0,54.0
MFDC2503.JPG,0.0,36.0,85.0
MFDC2504.JPG,0.0,30.0,64.0
MFDC2505.JPG,0.0,30.0,52.0
MFDC2506.JPG,0.0,34.0,84.0
MFDC2507.JPG,0.0,32.0,73.0
MFDC2508.JPG,0.0,27.0,86.0
MFDC2509.JPG,0.0,30.0,77.0
MFDC2510.JPG,0.0,42.0,75.0
MFDC2511.JPG,0.0,24.0,61.0
MFDC2512.JPG,0.0,42.0,76.0
MFDC2513.JPG,0.0,40.0,74.0
MFDC2514.JPG,0.0,24.0,53.0
MFDC2515.JPG,0.0,33.0,74.0
MFDC2516.JPG,0.0,34.0,76.0
MFDC2517.JPG,0.0,49.0,63.0
MFDC2518.JPG,0.0,26.0,68.0
MFDC2519.JPG,0.0,36.0,68.0
MFDC2520.JPG,0.0,33.0,72.0
MFDC2521.JPG,0.0,36.0,55.0
MFDC2522.JPG,0.0,48.0,44.0
MFDC2523.JPG,0.0,41.0,31.0
MFDC2524.JPG,0.0,35.0,22.0
MFDC2525.JPG,1.0,18.0,14.0
MFDC2526.JPG,1.0,12.0,2.0
MFDC2527.JPG,0.0,38.0,22.0
MFDC2528.JPG,0.0,47.0,37.0
MFDC2529.JPG,0.0,37.0,37.0
MFDC2530.JPG,0.0,34.0,49.0
MFDC2531.JPG,0.0,28.0,63.0
MFDC2532.JPG,1.0,35.0,57.0
MFDC2533.JPG,0.0,34.0,51.0
MFDC2534.JPG,1.0,36.0,68.0
MFDC2535.JPG,0.0,29.0,70.0
MFDC2536.JPG,0.0,29.0,74.0
MFDC2537.JPG,0.0,27.0,72.0
MFDC2538.JPG,0.0,33.0,64.0
MFDC2539.JPG,0.0,26.0,81.0
MFDC2540.JPG,0.0,50.0,60.0
MFDC2541.JPG,0.0,40.0,65.0
MFDC2542.JPG,0.0,49.0,67.0
MFDC2543.JPG,0.0,33.0,80.0
MFDC2544.JPG,0.0,30.0,62.0
MFDC2545.JPG,0.0,30.0,63.0
MFDC2546.JPG,0.0,37.0,70.0
MFDC2547.JPG,0.0,45.0,43.0
MFDC2548.JPG,2.0,22.0,63.0
MFDC2549.JPG,0.0,33.0,48.0
MFDC2550.JPG,0.0,25.0,44.0
MFDC2551.JPG,0.0,26.0,22.0
MFDC2552.JPG,0.0,22.0,21.0
MFDC2553.JPG,0.0,12.0,6.0
MFDC2554.JPG,1.0,10.0,1.0
MFDC2555.JPG,0.0,4.0,1.0
MFDC2556.JPG,0.0,4.0,0.0
MFDC2557.JPG,0.0,4.0,0.0
MFDC2558.JPG,1.0,14.0,2.0
MFDC2559.JPG,1.0,20.0,2.0
MFDC2560.JPG,1.0,3.0,1.0
MFDC2561.JPG,1.0,9.0,3.0
MFDC2562.JPG,0.0,10.0,7.0
MFDC2563.JPG,0.0,16.0,9.0
MFDC2564.JPG,0.0,18.0,12.0
MFDC2565.JPG,2.0,9.0,13.0
MFDC2566.JPG,0.0,15.0,19.0
MFDC2567.JPG,0.0,21.0,16.0
MFDC2568.JPG,0.0,26.0,17.0
MFDC2569.JPG,0.0,24.0,19.0
MFDC2570.JPG,0.0,24.0,12.0
MFDC2571.JPG,1.0,25.0,22.0
