                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                      0,                      0,                0.55283,                0.71952,                0.75519,                0.52911,                      0,                 84.625,                      0,                      0,                      0,                      0
                      2,                      0,                 49.757,                      0,                0.48764,                0.66667,                0.74146,                0.52797,                      0,                  84.25,                      0,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                      0,                 51.144,                      0,                0.51937,                0.72888,                0.75528,                0.53283,                      0,                 83.562,                      0,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                      0,                 55.612,                      0,                0.49802,                0.69851,                0.74134,                0.52419,                      0,                  82.25,                      0,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                      0,                 55.993,                      0,                0.48434,                0.66667,                0.74144,                0.51182,                      0,                 81.375,                      0,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                      0,                 32.804,                      0,                0.55028,                0.83333,                0.74947,                0.51294,                      0,                  81.25,                      0,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                      0,                 39.345,                      0,                0.65899,                0.58333,                0.76346,                0.50904,                      0,                   80.5,                      0,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                      0,                 38.629,                      0,                0.65856,                0.58333,                0.76051,                  0.504,                      0,                  79.25,                      0,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                      0,                 37.743,                      0,                0.66949,                0.58333,                0.77749,                0.48948,                      0,                 77.562,                      0,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                      0,                 38.555,                      0,                0.66726,                0.55274,                0.63634,                0.46827,                      0,                 75.875,                      0,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                      0,                 44.747,                      0,                0.66474,                0.53882,                0.63902,                0.47243,                      0,                 74.188,                      0,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                      0,                 28.117,                      0,                0.95154,                0.38765,                0.63787,                0.47063,                      0,                   72.5,                      0,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                      0,                 28.013,                      0,                0.94884,                0.38725,                0.63787,                0.47065,                      0,                 70.312,                      0,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     14,                      0,                 19.864,                      0,                0.71728,                0.58333,                0.74824,                0.47994,                      0,                  67.25,                      0,             1.3479e-05,             1.3479e-05,             1.3479e-05
                     15,                      0,                 25.591,                      0,                0.70888,                0.58333,                0.74812,                0.47994,                      0,                 65.188,                      0,             1.4351e-05,             1.4351e-05,             1.4351e-05
                     16,                      0,                  19.92,                      0,                 0.7139,                0.58333,                0.74801,                0.48011,                      0,                   62.5,                      0,             1.5199e-05,             1.5199e-05,             1.5199e-05
                     17,                      0,                 16.755,                      0,                0.94899,                0.38718,                0.66503,                0.47178,                      0,                 60.438,                      0,             1.6024e-05,             1.6024e-05,             1.6024e-05
                     18,                      0,                 16.101,                      0,                0.94899,                0.38718,                0.66503,                0.47178,                      0,                 60.438,                      0,             1.6825e-05,             1.6825e-05,             1.6825e-05
                     19,                      0,                 14.456,                      0,                0.85941,                0.23333,                0.48199,                0.30849,                      0,                 57.312,                      0,             1.7603e-05,             1.7603e-05,             1.7603e-05
                     20,                      0,                 11.179,                      0,                0.94743,                0.38688,                0.66522,                0.47172,                      0,                 57.312,                      0,             1.8357e-05,             1.8357e-05,             1.8357e-05
                     21,                      0,                  15.15,                      0,                0.86014,                0.23333,                0.47878,                0.30766,                      0,                 54.531,                      0,             1.9088e-05,             1.9088e-05,             1.9088e-05
                     22,                      0,                  15.78,                      0,                0.93842,                0.38333,                0.66256,                0.47112,                      0,                 54.531,                      0,             1.9795e-05,             1.9795e-05,             1.9795e-05
                     23,                      0,                 12.857,                      0,                0.97683,                    0.2,                0.47438,                0.30912,                      0,                 52.156,                      0,             2.0478e-05,             2.0478e-05,             2.0478e-05
                     24,                      0,                 10.042,                      0,                0.93573,                0.38333,                0.65856,                0.45621,                      0,                 52.156,                      0,             2.1138e-05,             2.1138e-05,             2.1138e-05
                     25,                      0,                 9.6544,                      0,                0.97029,                    0.2,                0.47497,                0.32027,                      0,                 48.812,                      0,             2.1774e-05,             2.1774e-05,             2.1774e-05
                     26,                      0,                 10.709,                      0,                0.92589,                0.38333,                0.65919,                0.46735,                      0,                 48.812,                      0,             2.2387e-05,             2.2387e-05,             2.2387e-05
                     27,                      0,                 12.909,                      0,                0.96092,                    0.2,                0.55792,                0.29964,                      0,                 46.125,                      0,             2.2976e-05,             2.2976e-05,             2.2976e-05
                     28,                      0,                 8.9992,                      0,                0.91812,                0.38333,                0.74214,                0.43011,                      0,                 46.125,                      0,             2.3542e-05,             2.3542e-05,             2.3542e-05
                     29,                      0,                 8.0277,                      0,                0.02296,                    0.2,                0.18555,                0.03724,                      0,                 43.031,                      0,             2.4084e-05,             2.4084e-05,             2.4084e-05
                     30,                      0,                 12.595,                      0,                0.91081,                0.38333,                0.74289,                0.42442,                      0,                 43.031,                      0,             2.4602e-05,             2.4602e-05,             2.4602e-05
                     31,                      0,                 6.2438,                      0,                0.92989,                    0.2,                0.55876,                0.30783,                      0,                 40.812,                      0,             2.5097e-05,             2.5097e-05,             2.5097e-05
                     32,                      0,                 6.4183,                      0,                 0.8994,                0.38333,                0.74303,                0.43834,                      0,                 40.812,                      0,             2.5568e-05,             2.5568e-05,             2.5568e-05
                     33,                      0,                 6.4848,                      0,                0.92213,                    0.2,                0.55884,                0.30357,                      0,                 37.375,                      0,             2.6016e-05,             2.6016e-05,             2.6016e-05
                     34,                      0,                 4.9836,                      0,                0.89168,                0.38333,                0.74313,                0.43403,                      0,                 37.375,                      0,              2.644e-05,              2.644e-05,              2.644e-05
                     35,                      0,                 7.2869,                      0,                0.02808,                    0.2,                0.18409,                0.04763,                      0,                 34.625,                      0,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                      0,                 5.2496,                      0,                0.88182,                0.38333,                0.74291,                0.41725,                      0,                 34.625,                      0,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                      0,                 4.5732,                      0,                 0.0374,                    0.2,                0.18374,                0.04756,                      0,                 31.266,                      0,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                      0,                 3.5922,                      0,                0.86864,                0.38333,                0.74193,                0.43552,                      0,                 31.266,                      0,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                      0,                 3.1976,                      0,                0.21202,                    0.6,                0.55621,                0.32097,                      0,                 28.266,                      0,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                      0,                 2.8144,                      0,                0.86313,                0.38333,                0.74031,                0.46635,                      0,                 28.266,                      0,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                      0,                 3.3885,                      0,                0.05556,                0.16667,                0.08292,                0.01658,                      0,                 25.031,                      0,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                      0,                      0,                      0,                0.05717,                0.18333,                0.09949,                0.02267,                      0,                 25.031,                      0,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                      0,                  3.662,                      0,                0.05556,                0.16667,                0.16583,                0.03317,                      0,                 21.906,                      0,             2.9198e-05,             2.9198e-05,             2.9198e-05
                     44,                      0,                 2.3018,                      0,                0.71712,                0.38333,                0.56926,                0.32188,                      0,                 21.906,                      0,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     45,                      0,                 2.3431,                      0,                0.08494,                0.18333,                0.09948,                0.02495,                      0,                 18.766,                      0,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     46,                      0,                 2.2002,                      0,                 0.4646,                0.21667,                0.29908,                  0.142,                      0,                 18.766,                      0,             2.9693e-05,             2.9693e-05,             2.9693e-05
